run,track_points,tracks,first_frame,last_frame,mean_track_length,median_track_length,max_track_length
provided_reference_labels,504700,9983,0,570,50.56,7.0,571
threshold_robust_full_border,736949,83785,0,570,8.8,5.0,483
u3a_threshold005_sigma10_540_570,37626,6776,0,30,5.55,4.0,31
u3b_threshold010_sigma10_540_570,37542,6769,0,30,5.55,4.0,31
u3c_threshold005_sigma20_540_570,38429,5066,0,30,7.59,6.0,31
u3d_threshold005_sigma30_540_570,33301,3363,0,30,9.9,7.0,31
u4a_tribolium_params_sigma20_540_570,64528,8646,0,30,7.46,5.0,31
u4b_tribolium_params_sigma30_540_570,46066,4733,0,30,9.73,7.0,31
multi_existing_labels_540_570,26366,2246,0,30,11.74,7.0,31
multi_cellpose_only_all_frames,530169,7696,0,570,68.89,7.0,571
multi_cellpose_variants_no_baseline_all_frames,530639,7414,0,570,71.57,7.0,571
